episode,length,total_reward,avg_q,exploration
0,200,-192.47127,-0.17971527576446533,1.0
1,200,-186.12534,-0.7813090085983276,0.995
2,200,-194.1957,-0.8372045755386353,0.990025
3,200,-191.61955,-0.8540905117988586,0.985074875
4,200,-191.74026,-0.8571571111679077,0.9801495006250001
5,200,-195.83109,-1.7414703369140625,0.9752487531218751
6,200,-191.03523,-1.8243134021759033,0.9703725093562657
7,200,-179.99802,-1.8114826679229736,0.9655206468094844
8,200,-176.99132,-1.804395318031311,0.960693043575437
9,200,-184.91505,-1.7967853546142578,0.9558895783575597
10,200,-191.72665,-2.7491097450256348,0.9511101304657719
11,200,-185.10054,-2.717475414276123,0.946354579813443
12,200,-191.72523,-2.7190351486206055,0.9416228069143757
13,200,-190.50023,-2.721341609954834,0.9369146928798039
14,200,-192.52505,-2.7280566692352295,0.9322301194154049
15,200,-186.25648,-3.708085298538208,0.9275689688183278
16,200,-189.9712,-3.6491165161132812,0.9229311239742362
17,200,-189.37256,-3.646636962890625,0.918316468354365
18,200,-190.86469,-3.647007703781128,0.9137248860125932
19,200,-185.42268,-3.6619083881378174,0.9091562615825302
20,200,-192.63321,-4.5998640060424805,0.9046104802746175
21,200,-191.15738,-4.56171178817749,0.9000874278732445
22,200,-185.89052,-4.578060150146484,0.8955869907338783
23,200,-179.3091,-4.580084800720215,0.8911090557802088
24,200,-191.95642,-4.558174133300781,0.8866535105013078
25,200,-190.24576,-5.427986145019531,0.8822202429488013
26,200,-192.7451,-5.462368011474609,0.8778091417340573
27,200,-193.50029,-5.456400394439697,0.8734200960253871
28,200,-191.35216,-5.451456546783447,0.8690529955452602
29,200,-193.07117,-5.463722229003906,0.8647077305675338
30,200,-193.36824,-6.296492099761963,0.8603841919146962
31,200,-189.77124,-6.350843906402588,0.8560822709551227
32,200,-190.44786,-6.35886287689209,0.851801859600347
33,200,-189.35538,-6.338662147521973,0.8475428503023453
34,200,-191.83365,-6.359190940856934,0.8433051360508336
35,200,-195.4058,-7.194543361663818,0.8390886103705794
36,200,-185.01964,-7.2488861083984375,0.8348931673187264
37,200,-192.60062,-7.254631042480469,0.8307187014821328
38,200,-194.04465,-7.232541561126709,0.8265651079747222
39,200,-189.84795,-7.250083923339844,0.8224322824348486
40,200,-192.75,-8.103782653808594,0.8183201210226743
41,200,-186.83061,-8.124757766723633,0.8142285204175609
42,200,-194.8699,-8.120280265808105,0.810157377815473
43,200,-194.2751,-8.13908576965332,0.8061065909263957
44,200,-183.86107,-8.129255294799805,0.8020760579717637
45,200,-184.38417,-8.998069763183594,0.798065677681905
46,200,-185.95355,-8.998998641967773,0.7940753492934954
47,200,-189.27283,-8.985191345214844,0.7901049725470279
48,200,-190.21164,-8.990317344665527,0.7861544476842928
49,200,-195.26595,-9.00009822845459,0.7822236754458713
