episode,length,total_reward,avg_q,exploration
0,31,9.0,0.14151135087013245,1.0
1,29,-13.0,0.14151135087013245,0.995
2,11,-9.0,0.11453338712453842,0.990025
3,28,4.0,0.05714743584394455,0.985074875
4,26,4.0,0.12757861614227295,0.9801495006250001
5,11,-9.0,0.14557775855064392,0.9752487531218751
6,19,-1.0,0.19198647141456604,0.9703725093562657
7,23,-5.0,0.24413570761680603,0.9655206468094844
8,19,-11.0,0.20776650309562683,0.960693043575437
9,16,-6.0,0.20074184238910675,0.9558895783575597
10,14,-8.0,0.22935166954994202,0.9511101304657719
11,16,-8.0,0.19535097479820251,0.946354579813443
12,75,-13.0,0.3001834452152252,0.9416228069143757
13,14,-4.0,0.36118319630622864,0.9369146928798039
14,16,-8.0,0.31287848949432373,0.9322301194154049
15,15,-9.0,0.303305983543396,0.9275689688183278
16,15,-5.0,0.2982170581817627,0.9229311239742362
17,18,-2.0,0.3339419662952423,0.918316468354365
18,31,7.0,0.38440263271331787,0.9137248860125932
19,22,-18.0,0.34166932106018066,0.9091562615825302
20,18,-8.0,0.3903934359550476,0.9046104802746175
21,16,0.0,0.4483286738395691,0.9000874278732445
22,12,-10.0,0.3393946886062622,0.8955869907338783
23,10,-6.0,0.4264238774776459,0.8911090557802088
24,15,-5.0,0.4145835041999817,0.8866535105013078
25,18,0.0,0.3887452483177185,0.8822202429488013
26,29,-3.0,0.3701359033584595,0.8778091417340573
27,22,-16.0,0.3421129584312439,0.8734200960253871
28,54,12.0,0.3969707489013672,0.8690529955452602
29,15,-13.0,0.4002598822116852,0.8647077305675338
30,19,-13.0,0.4133738875389099,0.8603841919146962
31,27,-17.0,0.32365912199020386,0.8560822709551227
32,105,-15.0,0.32599079608917236,0.851801859600347
33,22,-14.0,0.3177638053894043,0.8475428503023453
34,20,-18.0,0.3481723666191101,0.8433051360508336
35,21,-1.0,0.31205320358276367,0.8390886103705794
36,28,0.0,0.3682464063167572,0.8348931673187264
37,42,-2.0,0.3488999605178833,0.8307187014821328
38,106,8.0,0.6498907804489136,0.8265651079747222
39,59,15.0,0.6614928245544434,0.8224322824348486
40,20,-2.0,0.7227160334587097,0.8183201210226743
41,19,-9.0,0.629984974861145,0.8142285204175609
42,56,30.0,0.7047038078308105,0.810157377815473
43,19,-3.0,0.6813281178474426,0.8061065909263957
44,25,-17.0,0.6289423108100891,0.8020760579717637
45,36,-24.0,0.7032524347305298,0.798065677681905
46,11,-7.0,0.7090967297554016,0.7940753492934954
47,34,-2.0,0.6828389167785645,0.7901049725470279
48,33,-17.0,0.700421929359436,0.7861544476842928
49,27,-17.0,0.7648081183433533,0.7822236754458713
50,32,2.0,0.7986006736755371,0.778312557068642
51,20,-10.0,0.6890063285827637,0.7744209942832988
52,13,-7.0,0.7980068922042847,0.7705488893118823
53,35,-27.0,0.7701119780540466,0.7666961448653229
54,40,12.0,0.8082777857780457,0.7628626641409962
55,13,-7.0,0.6939777135848999,0.7590483508202912
56,20,-10.0,0.7977461814880371,0.7552531090661897
57,40,-38.0,0.6725704073905945,0.7514768435208588
58,16,-2.0,0.7747329473495483,0.7477194593032545
59,52,2.0,0.7436743378639221,0.7439808620067382
60,29,-19.0,0.6837971806526184,0.7402609576967045
61,48,26.0,0.7567169070243835,0.736559652908221
62,25,-15.0,0.7469366788864136,0.7328768546436799
63,15,-13.0,0.8382676839828491,0.7292124703704616
64,59,-7.0,0.7564311027526855,0.7255664080186093
65,17,-13.0,0.7486990690231323,0.7219385759785162
66,24,-4.0,0.7858206033706665,0.7183288830986236
67,24,-12.0,0.8038485646247864,0.7147372386831305
68,58,-10.0,0.6844626665115356,0.7111635524897149
69,83,-21.0,1.0911669731140137,0.7076077347272662
70,72,-2.0,1.1439483165740967,0.7040696960536299
71,25,-15.0,1.1270256042480469,0.7005493475733617
72,68,4.0,1.0299310684204102,0.697046600835495
73,62,-14.0,1.2101351022720337,0.6935613678313175
74,70,12.0,1.2406809329986572,0.6900935609921609
75,21,-19.0,1.122892141342163,0.6866430931872001
76,41,9.0,1.250295877456665,0.6832098777212641
77,59,33.0,1.1744935512542725,0.6797938283326578
78,99,29.0,1.2702653408050537,0.6763948591909945
79,73,21.0,1.103490948677063,0.6730128848950395
80,94,-40.0,1.2519605159759521,0.6696478204705644
81,41,9.0,1.1728558540344238,0.6662995813682115
82,43,1.0,1.2691746950149536,0.6629680834613705
83,44,-22.0,1.1801724433898926,0.6596532430440636
84,81,-13.0,1.2200969457626343,0.6563549768288433
85,44,-14.0,1.2901270389556885,0.653073201944699
86,18,-6.0,1.5786880254745483,0.6498078359349755
87,111,-37.0,1.5248572826385498,0.6465587967553006
88,59,25.0,1.7977310419082642,0.6433260027715241
89,81,-7.0,1.583361029624939,0.6401093727576664
90,60,34.0,1.6014204025268555,0.6369088258938781
91,56,24.0,1.8468061685562134,0.6337242817644086
92,14,-12.0,1.7338775396347046,0.6305556603555866
93,38,-24.0,1.550797462463379,0.6274028820538087
94,91,-1.0,1.855320930480957,0.6242658676435396
95,84,40.0,1.818192720413208,0.6211445383053219
96,60,2.0,1.7083688974380493,0.6180388156137953
97,106,-44.0,1.8241592645645142,0.6149486215357263
98,20,-6.0,1.771243691444397,0.6118738784280476
99,52,-10.0,1.7776225805282593,0.6088145090359074
100,108,-46.0,1.7476040124893188,0.6057704364907278
101,38,2.0,1.7713565826416016,0.6027415843082742
102,153,-33.0,2.1900737285614014,0.5997278763867329
103,154,6.0,2.388528823852539,0.5967292370047992
104,190,36.0,2.3075034618377686,0.5937455908197752
105,20,-14.0,2.3391127586364746,0.5907768628656763
106,44,-22.0,2.2925784587860107,0.5878229785513479
107,17,-3.0,2.3573765754699707,0.5848838636585911
108,111,1.0,2.4554595947265625,0.5819594443402982
109,221,17.0,2.36443829536438,0.5790496471185967
110,31,11.0,2.2872846126556396,0.5761543988830038
111,17,-1.0,2.3040030002593994,0.5732736268885887
112,49,23.0,2.2609169483184814,0.5704072587541458
113,175,-3.0,2.7888872623443604,0.567555222460375
114,16,-12.0,2.8193254470825195,0.5647174463480732
115,89,49.0,2.8204421997070312,0.5618938591163328
116,89,17.0,2.8955752849578857,0.5590843898207511
117,30,-16.0,2.9648163318634033,0.5562889678716474
118,198,126.0,2.887040138244629,0.5535075230322891
119,19,-5.0,2.8280029296875,0.5507399854171277
120,145,-63.0,3.021362781524658,0.547986285490042
121,72,12.0,2.8086934089660645,0.5452463540625918
122,147,7.0,2.915959358215332,0.5425201222922789
123,92,22.0,3.395404815673828,0.5398075216808175
124,142,16.0,3.458475112915039,0.5371084840724134
125,166,-36.0,3.5259158611297607,0.5344229416520513
126,12,-8.0,3.4949088096618652,0.531750826943791
127,183,15.0,3.497471570968628,0.5290920728090721
